nohup: 忽略输入
30246
Reading training data...
Reading validation data...
Epoch [1/5]
Iter:      0,  Train Loss:   2.3,  Train Acc: 12.50%,  Val Loss:   2.3,  Val Acc: 10.76%,  Time: 0:04:09 *
Iter:    100,  Train Loss:   2.1,  Train Acc: 62.50%,  Val Loss:   2.1,  Val Acc: 79.93%,  Time: 0:09:50 *
Iter:    200,  Train Loss:   1.2,  Train Acc: 75.00%,  Val Loss:   1.1,  Val Acc: 85.55%,  Time: 0:15:30 *
Iter:    300,  Train Loss:   0.5,  Train Acc: 87.50%,  Val Loss:  0.58,  Val Acc: 86.31%,  Time: 0:21:10 *
Iter:    400,  Train Loss:  0.13,  Train Acc: 100.00%,  Val Loss:  0.69,  Val Acc: 81.55%,  Time: 0:26:55 
Iter:    500,  Train Loss:  0.36,  Train Acc: 87.50%,  Val Loss:  0.48,  Val Acc: 88.69%,  Time: 0:32:44 *
Iter:    600,  Train Loss:   0.4,  Train Acc: 75.00%,  Val Loss:  0.48,  Val Acc: 88.51%,  Time: 0:38:22 
Iter:    700,  Train Loss:  0.88,  Train Acc: 75.00%,  Val Loss:   0.5,  Val Acc: 87.67%,  Time: 0:43:58 
Iter:    800,  Train Loss:  0.12,  Train Acc: 100.00%,  Val Loss:  0.47,  Val Acc: 88.06%,  Time: 0:49:33 
Iter:    900,  Train Loss:  0.53,  Train Acc: 87.50%,  Val Loss:   0.5,  Val Acc: 87.54%,  Time: 0:55:24 
Iter:   1000,  Train Loss:  0.32,  Train Acc: 87.50%,  Val Loss:  0.43,  Val Acc: 89.07%,  Time: 1:01:34 *
Iter:   1100,  Train Loss: 0.096,  Train Acc: 100.00%,  Val Loss:  0.46,  Val Acc: 87.83%,  Time: 1:07:37 
Iter:   1200,  Train Loss:  0.26,  Train Acc: 100.00%,  Val Loss:   0.4,  Val Acc: 89.78%,  Time: 1:13:41 *
Iter:   1300,  Train Loss:  0.47,  Train Acc: 87.50%,  Val Loss:   0.4,  Val Acc: 89.67%,  Time: 1:19:43 
Iter:   1400,  Train Loss:   1.0,  Train Acc: 75.00%,  Val Loss:   0.4,  Val Acc: 89.16%,  Time: 1:25:42 
Iter:   1500,  Train Loss:  0.45,  Train Acc: 75.00%,  Val Loss:  0.35,  Val Acc: 90.16%,  Time: 1:31:47 *
Iter:   1600,  Train Loss:  0.11,  Train Acc: 100.00%,  Val Loss:  0.41,  Val Acc: 89.70%,  Time: 1:37:50 
Iter:   1700,  Train Loss:  0.84,  Train Acc: 87.50%,  Val Loss:  0.41,  Val Acc: 90.00%,  Time: 1:43:55 
Iter:   1800,  Train Loss:  0.78,  Train Acc: 62.50%,  Val Loss:   0.4,  Val Acc: 90.00%,  Time: 1:50:00 
Iter:   1900,  Train Loss:  0.18,  Train Acc: 87.50%,  Val Loss:  0.35,  Val Acc: 90.99%,  Time: 1:56:09 *
Iter:   2000,  Train Loss: 0.061,  Train Acc: 100.00%,  Val Loss:  0.39,  Val Acc: 89.34%,  Time: 2:02:14 
Iter:   2100,  Train Loss:  0.74,  Train Acc: 87.50%,  Val Loss:  0.35,  Val Acc: 91.29%,  Time: 2:08:22 *
Iter:   2200,  Train Loss:  0.12,  Train Acc: 100.00%,  Val Loss:  0.35,  Val Acc: 90.73%,  Time: 2:14:28 
Iter:   2300,  Train Loss:  0.65,  Train Acc: 75.00%,  Val Loss:  0.34,  Val Acc: 90.82%,  Time: 2:20:30 
Iter:   2400,  Train Loss:  0.27,  Train Acc: 100.00%,  Val Loss:  0.36,  Val Acc: 90.76%,  Time: 2:26:34 
Iter:   2500,  Train Loss:  0.68,  Train Acc: 75.00%,  Val Loss:  0.33,  Val Acc: 91.30%,  Time: 2:32:42 *
Iter:   2600,  Train Loss: 0.023,  Train Acc: 100.00%,  Val Loss:  0.39,  Val Acc: 90.89%,  Time: 2:38:46 
Iter:   2700,  Train Loss: 0.018,  Train Acc: 100.00%,  Val Loss:  0.34,  Val Acc: 91.07%,  Time: 2:44:51 
Iter:   2800,  Train Loss: 0.026,  Train Acc: 100.00%,  Val Loss:  0.31,  Val Acc: 91.60%,  Time: 2:50:58 *
Iter:   2900,  Train Loss: 0.037,  Train Acc: 100.00%,  Val Loss:  0.29,  Val Acc: 92.05%,  Time: 2:57:08 *
Iter:   3000,  Train Loss:  0.21,  Train Acc: 87.50%,  Val Loss:  0.33,  Val Acc: 91.37%,  Time: 3:03:13 
Epoch [2/5]
Iter:   3100,  Train Loss:  0.44,  Train Acc: 87.50%,  Val Loss:   0.3,  Val Acc: 91.75%,  Time: 3:09:17 
Iter:   3200,  Train Loss: 0.061,  Train Acc: 100.00%,  Val Loss:  0.28,  Val Acc: 92.03%,  Time: 3:15:23 
Iter:   3300,  Train Loss: 0.0099,  Train Acc: 100.00%,  Val Loss:  0.32,  Val Acc: 91.77%,  Time: 3:21:27 
Iter:   3400,  Train Loss:  0.69,  Train Acc: 75.00%,  Val Loss:  0.36,  Val Acc: 90.78%,  Time: 3:27:33 
Iter:   3500,  Train Loss:  0.02,  Train Acc: 100.00%,  Val Loss:  0.29,  Val Acc: 92.06%,  Time: 3:33:40 *
Iter:   3600,  Train Loss:   1.0,  Train Acc: 75.00%,  Val Loss:  0.37,  Val Acc: 90.26%,  Time: 3:39:44 
Iter:   3700,  Train Loss: 0.015,  Train Acc: 100.00%,  Val Loss:   0.3,  Val Acc: 92.25%,  Time: 3:45:51 *
Iter:   3800,  Train Loss:  0.64,  Train Acc: 87.50%,  Val Loss:  0.29,  Val Acc: 92.21%,  Time: 3:51:56 
Iter:   3900,  Train Loss:  0.31,  Train Acc: 87.50%,  Val Loss:  0.29,  Val Acc: 92.43%,  Time: 3:58:03 *
Iter:   4000,  Train Loss: 0.042,  Train Acc: 100.00%,  Val Loss:  0.29,  Val Acc: 92.18%,  Time: 4:04:08 
Iter:   4100,  Train Loss:  0.12,  Train Acc: 100.00%,  Val Loss:  0.32,  Val Acc: 91.83%,  Time: 4:10:12 
Iter:   4200,  Train Loss:  0.17,  Train Acc: 87.50%,  Val Loss:  0.28,  Val Acc: 92.63%,  Time: 4:16:20 *
Iter:   4300,  Train Loss:  0.21,  Train Acc: 87.50%,  Val Loss:  0.29,  Val Acc: 92.15%,  Time: 4:22:24 
Iter:   4400,  Train Loss: 0.017,  Train Acc: 100.00%,  Val Loss:  0.31,  Val Acc: 91.88%,  Time: 4:28:27 
Iter:   4500,  Train Loss: 0.031,  Train Acc: 100.00%,  Val Loss:  0.29,  Val Acc: 92.49%,  Time: 4:34:31 
Iter:   4600,  Train Loss:   1.8,  Train Acc: 50.00%,  Val Loss:  0.28,  Val Acc: 92.73%,  Time: 4:40:43 *
Iter:   4700,  Train Loss:  0.25,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 93.01%,  Time: 4:46:49 *
Iter:   4800,  Train Loss: 0.091,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 92.79%,  Time: 4:52:54 
Iter:   4900,  Train Loss:   1.2,  Train Acc: 75.00%,  Val Loss:  0.29,  Val Acc: 91.93%,  Time: 4:58:55 
Iter:   5000,  Train Loss: 0.013,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 93.27%,  Time: 5:04:57 *
Iter:   5100,  Train Loss: 0.0079,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.04%,  Time: 5:10:57 
Iter:   5200,  Train Loss: 0.013,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 93.45%,  Time: 5:17:06 *
Iter:   5300,  Train Loss:  0.19,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 93.21%,  Time: 5:23:11 
Iter:   5400,  Train Loss: 0.036,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.17%,  Time: 5:29:14 
Iter:   5500,  Train Loss:  0.25,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 93.22%,  Time: 5:35:19 
Iter:   5600,  Train Loss:  0.45,  Train Acc: 87.50%,  Val Loss:  0.24,  Val Acc: 93.04%,  Time: 5:41:17 
